Nr,imię,nazwisko,participant_name,original_score,ci_lower,ci_upper,ci_width,std_bootstrap,n_judges,rank,rank_ci_lower,rank_ci_upper,rank_uncertainty
29,Kevin,Chen,Kevin Chen,21.58235294117647,20.894117647058824,22.267720588235292,1.3736029411764683,0.35991235784384995,17,1.0,1.0,1.0,0.0
62,Eric,Lu,Eric Lu,21.408,20.706000000000003,22.150016666666666,1.4440166666666627,0.3687231416755814,15,2.0,2.0,2.0,0.0
24,Piotr,Alexewicz,Piotr Alexewicz,21.295882352941174,20.565102941176473,21.967838235294117,1.4027352941176439,0.36871831444138786,17,3.0,4.0,3.0,-1.0
64,Tianyao,Lyu,Tianyao Lyu,21.247500000000002,20.442312500000003,22.030375,1.588062499999996,0.4110281329787536,16,4.0,3.0,4.0,1.0
51,Shiori,Kuwahara,Shiori Kuwahara,21.043529411764705,20.326647058823532,21.79791176470588,1.4712647058823478,0.3589862075904011,17,5.0,6.0,5.0,-1.0
73,Vincent,Ong,Vincent Ong,21.03529411764706,20.215294117647062,21.858823529411765,1.6435294117647032,0.4199303956758272,17,6.0,5.0,6.0,1.0
47,David,Khrikuli,David Khrikuli,20.71764705882353,19.952426470588236,21.44411764705882,1.4916911764705851,0.38682909594848,17,7.0,7.0,8.0,1.0
5,Zitong,Wang,Zitong Wang,20.640625,19.984375,21.3125,1.328125,0.3479858774410788,16,8.0,8.0,7.0,-1.0
15,William,Yang,William Yang,20.478749999999998,19.689625,21.213749999999997,1.524124999999998,0.39508636931530544,16,9.0,9.0,9.0,0.0
81,Miyu,Shindo,Miyu Shindo,19.716470588235296,19.22176470588235,20.245882352941177,1.0241176470588265,0.2595460151054016,17,10.0,10.0,10.0,0.0
57,Tianyou,Li,Tianyou Li,19.09058823529412,18.51294117647059,19.70614705882353,1.1932058823529381,0.2988780830217007,17,11.0,11.0,11.0,0.0
